Epoch,Average Loss
0,0.15869396626949311
1,0.14889363646507264
2,0.1513072967529297
3,0.12943933606147767
4,0.1322370558977127
5,0.11487373411655426
6,0.08934795558452606
7,0.0811577394604683
8,0.0401068139821291
9,0.03346480242908001
10,0.02972704656422138
11,0.02670644670724869
12,0.025175667181611062
13,0.023566243797540666
14,0.02370251826941967
15,0.026630191877484322
16,0.0237015001475811
17,0.025559920445084573
18,0.025365232303738595
19,0.024008507654070855
20,0.024931490048766138
21,0.02557164616882801
22,0.024243845045566557
23,0.02352825403213501
24,0.023505651205778123
25,0.02239149808883667
26,0.024039305001497268
27,0.022705667838454246
28,0.022444766759872437
29,0.024804573506116867
30,0.025462807342410087
31,0.02201625481247902
32,0.024561936780810357
33,0.022364545986056326
34,0.026016223803162576
35,0.025253958255052566
36,0.023989681899547578
37,0.021869920939207078
38,0.023816128820180894
39,0.022224325314164163
40,0.024244659766554832
41,0.025333013385534286
42,0.022631260752677917
43,0.023841027170419693
44,0.027785909548401832
45,0.026183082908391952
46,0.02320901080965996
47,0.02612125501036644
48,0.023413989692926407
49,0.02329847663640976
50,0.02193899340927601
51,0.02111356072127819
52,0.023579277843236924
53,0.022207542881369592
54,0.02384985014796257
55,0.024589356780052186
56,0.023578039184212685
57,0.023358720168471337
58,0.023628978058695793
59,0.025760163366794587
60,0.023053454607725142
61,0.027248140797019003
62,0.021102556400001048
63,0.02275383286178112
64,0.025455236807465552
65,0.02437731474637985
66,0.02359129823744297
67,0.023757076263427733
68,0.026040107756853104
69,0.027396680414676668
70,0.022688617557287218
71,0.02258283868432045
72,0.024340499192476273
73,0.021849213168025017
74,0.0231197327375412
75,0.02310713119804859
76,0.02141849584877491
77,0.024013123661279678
78,0.02237631529569626
79,0.023046573624014854
80,0.022439461946487427
81,0.023403655365109445
82,0.02565460205078125
83,0.023094887658953667
84,0.026047197729349138
85,0.022522877529263498
86,0.023742157593369485
87,0.023212009109556675
88,0.022206654772162437
89,0.02315157726407051
90,0.024383168667554855
91,0.02342950291931629
92,0.02119024023413658
93,0.02586417570710182
94,0.025035542994737627
95,0.022240375727415086
